종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
016250,이테크건설,"81,800","4,000","5.14","1,340,417,500","229,040,000,000"
041830,인바디,"18,850","-300","1.57","2,296,881,600","257,939,290,700"
060150,인선이엔티,"7,350","-80","1.08","3,197,592,300","282,175,922,700"
048530,인트론바이오,"12,850","-200","1.53","3,108,858,000","385,638,073,250"
095700,제넥신,"65,500","-2,600","3.82","40,265,991,000","1,557,881,278,500"
036930,주성엔지니어링,"5,410","90","1.69","2,333,912,230","261,028,236,920"
228760,지노믹트리,"18,650","-450","2.36","3,226,326,350","372,742,909,750"
115450,지트리비앤티,"25,200","-500","1.95","5,371,025,000","634,471,437,600"
278280,천보,"67,000","1,800","2.76","9,283,161,000","670,000,000,000"
042000,카페24,"44,100","-1,150","2.54","9,228,892,750","415,889,327,700"
078340,컴투스,"107,000","500","0.47","5,622,535,300","1,376,706,940,000"
032500,케이엠더블유,"61,000","-300","0.49","36,653,008,100","2,429,073,863,000"
041960,코미팜,"19,600","-750","3.69","18,200,888,750","1,258,043,169,600"
222040,코스맥스엔비티,"4,750","-15","0.31","632,401,020","97,983,000,000"
029960,코엔텍,"9,710","-210","2.12","3,875,175,800","485,500,000,000"
033290,코웰패션,"5,450","-70","1.27","1,816,338,870","482,326,275,300"
200130,콜마비앤에이치,"28,800","400","1.41","4,198,453,050","850,854,470,400"
083790,크리스탈,"13,050","-50","0.38","6,508,180,950","549,031,391,550"
214150,클래시스,"11,200","-400","3.45","7,866,701,050","724,742,681,600"
237880,클리오,"22,250","-150","0.67","4,227,235,350","377,535,663,750"
023160,태광,"7,200","0","0.00","2,094,467,660","190,800,000,000"
044490,태웅,"5,760","-40","0.69","664,599,180","115,242,514,560"
095610,테스,"20,000","1,200","6.38","15,708,846,250","395,364,520,000"
200230,텔콘RF제약,"5,010","-40","0.79","5,837,644,200","427,740,683,820"
108230,톱텍,"20,450","1,150","5.96","50,294,804,250","777,575,360,250"
064760,티씨케이,"72,000","1,400","1.98","3,747,835,800","840,600,000,000"
034230,파라다이스,"15,750","-200","1.25","13,641,419,500","1,432,347,084,000"
214450,파마리서치프로덕트,"42,600","1,450","3.52","4,719,362,900","410,137,591,800"
047310,파워로직스,"6,870","-430","5.89","17,224,046,220","236,472,146,340"
091700,파트론,"8,040","-60","0.74","6,230,882,390","435,417,536,400"
